nomination_id,year,award,name,is_winner,movie
1227,2012,Best Original Screenplay, Pablo Berger,Winner,Blancanieves 
1228,2012,Best Original Screenplay, Fernando Trueba and Jean-Claude Carrière,Nominated,The Artist and the Model 
1229,2012,Best Original Screenplay," Martí Roca, Rafael Cobos López and Alberto Rodríguez Librero",Nominated,Unit 7 
1230,2012,Best Original Screenplay, Sergio G. Sánchez and María Belón,Nominated,The Impossible 
1231,2012,Best Adapted Screenplay," Javier Barreira, Gorka Magallón, Ignacio del Moral, Jordi Gasull and Neil Landau",Winner,"Tad, The Lost Explorer "
1232,2012,Best Adapted Screenplay, Jorge Guerricaechevarría and Sergio G. Sánchez,Nominated,The End  
1233,2012,Best Adapted Screenplay, Javier Gullón and Jorge Arenillas,Nominated,Invasor 
1234,2012,Best Adapted Screenplay, Ramón Salazar Hoogers,Nominated,I Want You 
1235,2012,Best Adapted Screenplay, Manuel Rivas,Nominated,All Is Silence 
1236,2012,Best Spanish Language Foreign Film,Cuba/Spain,Winner,Juan of the Dead 
1237,2012,Best Spanish Language Foreign Film,Paraguay,Nominated,7 Boxes 
1238,2012,Best Spanish Language Foreign Film,Mexico,Nominated,After Lucia 
1239,2012,Best Spanish Language Foreign Film,Argentina,Nominated,Clandestine Childhood 
1240,2012,Best European Film,France,Winner,The Intouchables 
1241,2012,Best European Film,France/Belgium,Nominated,Rust and Bone 
1242,2012,Best European Film,France,Nominated,In the House 
1243,2012,Best European Film,UK,Nominated,Shame 
1244,2012,Best New Director," Tad, The Lost Explorer",Winner,Enrique Gato
1245,2012,Best New Director, Carmina or Blow Up,Nominated,Paco León
1246,2012,Best New Director, The Body,Nominated,Oriol Paulo
1247,2012,Best New Director, Evelyn,Nominated,Isabel de Ocampo
1248,2012,Best Animated Film,,Winner,"Tad, The Lost Explorer"
1249,2012,Best Animated Film,,Nominated,El Corazón del Roble
1250,2012,Best Animated Film,,Nominated,O Apóstolo
1251,2012,Best Animated Film,,Nominated,The Wish Fish
1252,2013,Best Film,,Winner,Living Is Easy with Eyes Closed
1253,2013,Best Film,,Nominated,15 Years and One Day
1254,2013,Best Film,,Nominated,Cannibal
1255,2013,Best Film,,Nominated,Family United
1256,2013,Best Film,,Nominated,Wounded
1257,2013,Best Director,David Trueba,Winner, Living Is Easy with Eyes Closed
1258,2013,Best Director,Gracia Querejeta,Nominated, 15 Years and One Day
1259,2013,Best Director,Manuel Martín Cuenca,Nominated, Cannibal
1260,2013,Best Director,Daniel Sánchez Arévalo,Nominated, Family United
1261,2013,Best Actor,Javier Cámara,Winner, Living Is Easy with Eyes Closed
1262,2013,Best Actor,Tito Valverde,Nominated, 15 Years and One Day
1263,2013,Best Actor,Antonio de la Torre,Nominated, Cannibal
1264,2013,Best Actor,Eduard Fernández,Nominated, Todas Las Mujeres
1265,2013,Best Actress,Marián Álvarez,Winner, Wounded
1266,2013,Best Actress,Inma Cuesta,Nominated, Three Many Weddings
1267,2013,Best Actress,Aura Garrido,Nominated, Stockholm
1268,2013,Best Actress,Nora Navas,Nominated, Tots Volem el Millor Per a Ella
1269,2013,Best Supporting Actor,Roberto Álamo,Winner, Family United
1270,2013,Best Supporting Actor,Carlos Bardem,Nominated, Scorpion in Love
1271,2013,Best Supporting Actor,Juan Diego Botto,Nominated, Ismael
1272,2013,Best Supporting Actor,Antonio de la Torre,Nominated, Family United
1273,2013,Best Supporting Actress,Terele Pávez,Winner, Witching and Bitching
1274,2013,Best Supporting Actress,Susi Sánchez,Nominated, 10.000 Noches En Ninguna Parte
1275,2013,Best Supporting Actress,Maribel Verdú,Nominated, 15 Years and One Day
1276,2013,Best Supporting Actress,Nathalie Poza,Nominated, Todas Las Mujeres
1277,2013,Best New Actor,Javier Pereira,Winner, Stockholm
1278,2013,Best New Actor,Berto Romero,Nominated, Three Many Weddings
1279,2013,Best New Actor,Hovik Keuchkerian,Nominated, Scorpion in Love
1280,2013,Best New Actor,Patrick Criado,Nominated, Family United
1281,2013,Best New Actress,Natalia de Molina,Winner, Living Is Easy with Eyes Closed
1282,2013,Best New Actress,Belén López,Nominated, 15 Years and One Day
1283,2013,Best New Actress,Olimpia Melinte,Nominated, Cannibal
1284,2013,Best New Actress,María Morales,Nominated, Todas Las Mujeres
1285,2013,Best Original Screenplay, David Trueba,Winner,Living Is Easy with Eyes Closed
1286,2013,Best Original Screenplay, Pablo Alén and Breixo Corral,Nominated,Three Many Weddings
1287,2013,Best Original Screenplay, Daniel Sánchez Arévalo,Nominated,Family United
1288,2013,Best Original Screenplay, Fernando Franco García and Enric Rufas,Nominated,Wounded
1289,2013,Best Adapted Screenplay, Alejandro Hernández and Mariano Barroso,Winner,Todas Las Mujeres
1290,2013,Best Adapted Screenplay, Santiago A. Zannou and Carlos Bardem,Nominated,Scorpion in Love
1291,2013,Best Adapted Screenplay, Manuel Martín Cuenca and Alejandro Hernández,Nominated,Cannibal
1292,2013,Best Adapted Screenplay, Jorge A. Lara and Francisco Roncal,Nominated,Zip & Zap and the Marble Gang
1293,2013,Best Spanish Language Foreign Film,Venezuela/Spain,Winner,Blue and Not So Pink 
1294,2013,Best Spanish Language Foreign Film,Argentina/Spain,Nominated,The German Doctor 
1295,2013,Best Spanish Language Foreign Film,Chile/Spain,Nominated,Gloria 
1296,2013,Best Spanish Language Foreign Film,Mexico/Spain,Nominated,The Golden Dream 
1297,2013,Best European Film,Austria,Winner,Amour 
1298,2013,Best European Film,Denmark/Sweden,Nominated,The Hunt 
1299,2013,Best European Film,Italy/France,Nominated,The Great Beauty 
1300,2013,Best European Film,France/Belgium/Spain,Nominated,Blue Is the Warmest Colour 
